#	########################################
#	##### Peptide Assembling by Sipros #####
#	########################################
#	
#	###############
#	# Input Files #
#	###############
#	
#	[Input_Files]
#	
#	psm{Run1} = ./OSU_B5_FASP_Elite_02282014.psm.txt
#	
#	pep{Run1} = ./OSU_B5_FASP_Elite_02282014.pep.txt
#	
#	########################
#	# Filtering Parameters #
#	########################
#	
#	[Protein_Identification]
#	
#	# Minimum number of peptides per protein
#	Min_Peptide_Per_Protein = 2
#	
#	# Minimum number of unique peptides per protein
#	Min_Unique_Peptide_Per_Protein = 1
#	
#	#######################
#	# Statistical Results #
#	#######################
#	
#	[Statistical_Results]
#	
#	# Numbers of proteins before filtering
#	Decoy_Proteins_Before_Filtering = 149
#	Target_Proteins_Before_Filtering = 10413
#	Total_Proteins_Before_Filtering = 10562
#	
#	# Numbers of proteins after filtering
#	Decoy_Proteins_After_Filtering = 1
#	Target_Proteins_After_Filtering = 2772
#	Total_Proteins_After_Filtering = 2773
#	
#	# Protein FDR = Decoy_Proteins_After_Filtering / Total_Proteins_After_Filtering
#	Protein_FDR = 0.000360620266859
#	
#	################
#	# Column Names #
#	################
#	
#	[Column_Names]
#	ProteinID = Names of the protein
#	Run#_UniquePeptideCounts = Number of unique peptides in a run
#	Run#_TotalPeptideCounts = Number of all peptides in a run
#	Run#_UniqueSpectrumCounts = Number of unique PSM in a run
#	Run#_TotalSpectrumCounts = Number of all PSM in a run
#	Run#_BalancedSpectrumCounts = Balanced spectrum count in a run
#	Run#_NormalizedBalancedSpectrumCounts = Normalized Balanced spectrum count in a run
#	ProteinDescription = Protein description
#	TargetMatch = T for target match and F for decoy match
#	
ProteinID	Run1_UniquePeptideCounts	Run1_TotalPeptideCounts	Run1_UniqueSpectrumCounts	Run1_TotalSpectrumCounts	Run1_BalancedSpectrumCounts	Run1_NormalizedBalancedSpectrumCounts	ProteinDescription	TargetMatch
acetate|contig-2656000014_2	5	5	7	7	7.0	7.0	acetate|contig-2656000014_2	T
acetate|contig-2701000013_7	1	4	1	5	5.0	5.0	acetate|contig-2701000013_7	T
acetate|contig-29111000004_1	3	12	6	22	12.25	12.25	acetate|contig-29111000004_1	T
acetate|contig-32808000013_2	2	7	3	13	12.5	12.5	acetate|contig-32808000013_2	T
acetate|contig-33209000009_2	11	11	19	19	19.0	19.0	acetate|contig-33209000009_2	T
acetate|contig-35627000013_1	3	18	4	125	85.0	85.0	acetate|contig-35627000013_1	T
acetate|contig-38642000009_2	1	2	1	2	2.0	2.0	acetate|contig-38642000009_2	T
acetate|contig-39585000009_2	1	17	5	32	18.5	18.5	acetate|contig-39585000009_2	T
acetate|contig-39616000011_1	4	5	14	15	14.5	14.5	acetate|contig-39616000011_1	T
acetate|contig-45248000006_1	1	2	1	2	2.0	2.0	acetate|contig-45248000006_1	T
acetate|contig-976000012_1	1	2	1	4	2.5	2.5	acetate|contig-976000012_1	T
aminoacids|contig-16325000009_1	1	2	1	3	3.0	3.0	aminoacids|contig-16325000009_1	T
aminoacids|contig-17634000008_2	1	2	2	3	3.0	3.0	aminoacids|contig-17634000008_2	T
aminoacids|contig-1854000009_2	1	9	2	10	10.0	10.0	aminoacids|contig-1854000009_2	T
aminoacids|contig-2803000010_1	4	8	5	16	7.56666666667	7.57	aminoacids|contig-2803000010_1	T
aminoacids|contig-2821000007_1	1	3	1	7	1.46666666667	1.47	aminoacids|contig-2821000007_1	T
aminoacids|contig-32346000000_2	1	7	1	12	7.16666666667	7.17	aminoacids|contig-32346000000_2	T
aminoacids|contig-38455000001_1	2	3	3	5	5.0	5.0	aminoacids|contig-38455000001_1	T
aminoacids|contig-398000007_1	1	2	1	2	2.0	2.0	aminoacids|contig-398000007_1	T
aminoacids|contig-40061000004_3	1	3	1	3	3.0	3.0	aminoacids|contig-40061000004_3	T
aminoacids|contig-40895000008_1	5	11	16	40	22.6666666667	22.67	aminoacids|contig-40895000008_1	T
aminoacids|contig-51276000010_1	2	7	2	9	4.33333333333	4.33	aminoacids|contig-51276000010_1	T
aminoacids|contig-53698000010_1	1	2	1	2	2.0	2.0	aminoacids|contig-53698000010_1	T
aminoacids|contig-55628000004_1	1	2	1	2	2.0	2.0	aminoacids|contig-55628000004_1	T
aminoacids|contig-58049000009_1	1	8	1	19	6.4	6.4	aminoacids|contig-58049000009_1	T
aminoacids|contig-59990000002_2	2	14	2	33	14.0	14.0	aminoacids|contig-59990000002_2	T
glucose|contig-10337000012_1	1	2	1	2	1.33333333333	1.33	glucose|contig-10337000012_1	T
